Data;Taxa de câmbio - R$ / US$ - comercial - venda - fim período - R$ - Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERVF12;
1953.01;6,80727272727273E-15;
1953.02;1,52727272727273E-14;
1953.03;1,52727272727273E-14;
1953.04;1,45454545454545E-14;
1953.05;1,6E-14;
1953.06;1,61818181818182E-14;
1953.07;1,48727272727273E-14;
1953.08;1,4E-14;
1953.09;1,38545454545455E-14;
1953.10;1,38545454545455E-14;
1953.11;1,92727272727273E-14;
1953.12;2,05454545454545E-14;
1954.01;1,98181818181818E-14;
1954.02;2,18181818181818E-14;
1954.03;2,12E-14;
1954.04;1,89090909090909E-14;
1954.05;2,05454545454545E-14;
1954.06;2,09090909090909E-14;
1954.07;2,18181818181818E-14;
1954.08;2,22909090909091E-14;
1954.09;2,30181818181818E-14;
1954.10;2,38181818181818E-14;
1954.11;2,58181818181818E-14;
1954.12;2,67272727272727E-14;
1955.01;2,6E-14;
1955.02;2,63636363636364E-14;
1955.03;2,72727272727273E-14;
1955.04;2,74545454545455E-14;
1955.05;2,74545454545455E-14;
1955.06;2,70909090909091E-14;
1955.07;2,6E-14;
1955.08;2,56363636363636E-14;
1955.09;2,43636363636364E-14;
1955.10;2,36363636363636E-14;
1955.11;2,38181818181818E-14;
1955.12;2,41818181818182E-14;
1956.01;2,50909090909091E-14;
1956.02;2,49090909090909E-14;
1956.03;2,54545454545455E-14;
1956.04;2,61818181818182E-14;
1956.05;2,83636363636364E-14;
1956.06;2,83636363636364E-14;
1956.07;2,61818181818182E-14;
1956.08;2,61818181818182E-14;
1956.09;2,43636363636364E-14;
1956.10;2,43636363636364E-14;
1956.11;2,36363636363636E-14;
1956.12;2,38181818181818E-14;
1957.01;2,38181818181818E-14;
1957.02;2,41090909090909E-14;
1957.03;2,37454545454545E-14;
1957.04;2,49090909090909E-14;
1957.05;2,67272727272727E-14;
1957.06;2,58181818181818E-14;
1957.07;2,68E-14;
1957.08;2,87272727272727E-14;
1957.09;2,98181818181818E-14;
1957.10;3,12727272727273E-14;
1957.11;3,39272727272727E-14;
1957.12;3,30181818181818E-14;
1958.01;3,57454545454545E-14;
1958.02;3,59272727272727E-14;
1958.03;3,93818181818182E-14;
1958.04;4,46545454545455E-14;
1958.05;4,56363636363636E-14;
1958.06;4,84727272727273E-14;
1958.07;4,92E-14;
1958.08;5,64727272727273E-14;
1958.09;5,72E-14;
1958.10;5,19272727272727E-14;
1958.11;5,02909090909091E-14;
1958.12;5,12E-14;
1959.01;5,24727272727273E-14;
1959.02;5,09090909090909E-14;
1959.03;5,10909090909091E-14;
1959.04;5,01818181818182E-14;
1959.05;4,81454545454545E-14;
1959.06;5,32363636363636E-14;
1959.07;5,58181818181818E-14;
1959.08;5,58181818181818E-14;
1959.09;5,58181818181818E-14;
1959.10;5,95272727272727E-14;
1959.11;6,69454545454545E-14;
1959.12;6,69454545454545E-14;
1960.01;6,8E-14;
1960.02;6,76363636363636E-14;
1960.03;6,76363636363636E-14;
1960.04;6,76363636363636E-14;
1960.05;6,76363636363636E-14;
1960.06;6,76363636363636E-14;
1960.07;6,76363636363636E-14;
1960.08;6,76363636363636E-14;
1960.09;6,76363636363636E-14;
1960.10;6,76363636363636E-14;
1960.11;6,76363636363636E-14;
1960.12;7,09090909090909E-14;
1961.01;8E-14;
1961.02;8E-14;
1961.03;9,89090909090909E-14;
1961.04;1,02181818181818E-13;
1961.05;9,63636363636364E-14;
1961.06;9,6E-14;
1961.07;9,6E-14;
1961.08;1,04727272727273E-13;
1961.09;1,08363636363636E-13;
1961.10;1,11636363636364E-13;
1961.11;1,11636363636364E-13;
1961.12;1,11636363636364E-13;
1962.01;1,15636363636364E-13;
1962.02;1,15636363636364E-13;
1962.03;1,15636363636364E-13;
1962.04;1,15636363636364E-13;
1962.05;1,30581818181818E-13;
1962.06;1,32727272727273E-13;
1962.07;1,33454545454545E-13;
1962.08;1,50909090909091E-13;
1962.09;1,72727272727273E-13;
1962.10;1,72727272727273E-13;
1962.11;1,72727272727273E-13;
1962.12;1,72727272727273E-13;
1963.01;1,72727272727273E-13;
1963.02;1,72727272727273E-13;
1963.03;1,72727272727273E-13;
1963.04;2,25454545454545E-13;
1963.05;2,25454545454545E-13;
1963.06;2,25454545454545E-13;
1963.07;2,25454545454545E-13;
1963.08;2,25454545454545E-13;
1963.09;2,25454545454545E-13;
1963.10;2,25454545454545E-13;
1963.11;2,25454545454545E-13;
1963.12;2,25454545454545E-13;
1964.01;2,25454545454545E-13;
1964.02;4,36363636363636E-13;
1964.03;4,36363636363636E-13;
1964.04;4,36363636363636E-13;
1964.05;4,36363636363636E-13;
1964.06;4,36363636363636E-13;
1964.07;4,36363636363636E-13;
1964.08;4,56363636363636E-13;
1964.09;5,85454545454545E-13;
1964.10;5,85454545454545E-13;
1964.11;5,85454545454545E-13;
1964.12;6,72727272727273E-13;
1965.01;6,72727272727273E-13;
1965.02;6,72727272727273E-13;
1965.03;6,72727272727273E-13;
1965.04;6,72727272727273E-13;
1965.05;6,72727272727273E-13;
1965.06;6,72727272727273E-13;
1965.07;6,72727272727273E-13;
1965.08;6,72727272727273E-13;
1965.09;6,72727272727273E-13;
1965.10;6,72727272727273E-13;
1965.11;8,07272727272727E-13;
1965.12;8,07272727272727E-13;
1966.01;8,07272727272727E-13;
1966.02;8,07272727272727E-13;
1966.03;8,07272727272727E-13;
1966.04;8,07272727272727E-13;
1966.05;8,07272727272727E-13;
1966.06;8,07272727272727E-13;
1966.07;8,07272727272727E-13;
1966.08;8,07272727272727E-13;
1966.09;8,07272727272727E-13;
1966.10;8,07272727272727E-13;
1966.11;8,07272727272727E-13;
1966.12;8,07272727272727E-13;
1967.01;8,07272727272727E-13;
1967.02;9,85454545454545E-13;
1967.03;9,85454545454545E-13;
1967.04;9,85454545454545E-13;
1967.05;9,85454545454545E-13;
1967.06;9,85454545454545E-13;
1967.07;9,85454545454545E-13;
1967.08;9,85454545454545E-13;
1967.09;9,85454545454545E-13;
1967.10;9,85454545454545E-13;
1967.11;9,85454545454545E-13;
1967.12;9,85454545454545E-13;
1968.01;1,17090909090909E-12;
1968.02;1,17090909090909E-12;
1968.03;1,17090909090909E-12;
1968.04;1,17090909090909E-12;
1968.05;1,17090909090909E-12;
1968.06;1,17090909090909E-12;
1968.07;1,17090909090909E-12;
1968.08;1,32727272727273E-12;
1968.09;1,34545454545455E-12;
1968.10;1,34545454545455E-12;
1968.11;1,37090909090909E-12;
1968.12;1,39272727272727E-12;
1969.01;1,39272727272727E-12;
1969.02;1,42909090909091E-12;
1969.03;1,45454545454545E-12;
1969.04;1,45454545454545E-12;
1969.05;1,47272727272727E-12;
1969.06;1,47272727272727E-12;
1969.07;1,49090909090909E-12;
1969.08;1,50909090909091E-12;
1969.09;1,50909090909091E-12;
1969.10;1,53090909090909E-12;
1969.11;1,56E-12;
1969.12;1,58181818181818E-12;
1970.01;1,58181818181818E-12;
1970.02;1,60363636363636E-12;
1970.03;1,63272727272727E-12;
1970.04;1,63272727272727E-12;
1970.05;1,65818181818182E-12;
1970.06;1,65818181818182E-12;
1970.07;1,69090909090909E-12;
1970.08;1,69090909090909E-12;
1970.09;1,71636363636364E-12;
1970.10;1,71636363636364E-12;
1970.11;1,76727272727273E-12;
1970.12;1,8E-12;
1971.01;1,8E-12;
1971.02;1,82909090909091E-12;
1971.03;1,85818181818182E-12;
1971.04;1,85818181818182E-12;
1971.05;1,88909090909091E-12;
1971.06;1,92181818181818E-12;
1971.07;1,92181818181818E-12;
1971.08;1,96545454545455E-12;
1971.09;2,00181818181818E-12;
1971.10;2,00181818181818E-12;
1971.11;2,04909090909091E-12;
1971.12;2,04909090909091E-12;
1972.01;2,10363636363636E-12;
1972.02;2,10363636363636E-12;
1972.03;2,12545454545455E-12;
1972.04;2,12545454545455E-12;
1972.05;2,15090909090909E-12;
1972.06;2,15090909090909E-12;
1972.07;2,16909090909091E-12;
1972.08;2,16909090909091E-12;
1972.09;2,19090909090909E-12;
1972.10;2,21636363636364E-12;
1972.11;2,24181818181818E-12;
1972.12;2,26E-12;
1973.01;2,26E-12;
1973.02;2,19272727272727E-12;
1973.03;2,19272727272727E-12;
1973.04;2,21818181818182E-12;
1973.05;2,21818181818182E-12;
1973.06;2,21818181818182E-12;
1973.07;2,22909090909091E-12;
1973.08;2,22909090909091E-12;
1973.09;2,24E-12;
1973.10;2,24E-12;
1973.11;2,24E-12;
1973.12;2,26181818181818E-12;
1974.01;2,26181818181818E-12;
1974.02;2,34727272727273E-12;
1974.03;2,34727272727273E-12;
1974.04;2,30545454545455E-12;
1974.05;2,30545454545455E-12;
1974.06;2,47818181818182E-12;
1974.07;2,50363636363636E-12;
1974.08;2,55272727272727E-12;
1974.09;2,59272727272727E-12;
1974.10;2,62545454545455E-12;
1974.11;2,66363636363636E-12;
1974.12;2,70363636363636E-12;
1975.01;2,74545454545455E-12;
1975.02;2,77090909090909E-12;
1975.03;2,81272727272727E-12;
1975.04;2,85272727272727E-12;
1975.05;2,9E-12;
1975.06;2,93454545454545E-12;
1975.07;2,95636363636364E-12;
1975.08;3,04E-12;
1975.09;3,09818181818182E-12;
1975.10;3,15272727272727E-12;
1975.11;3,23636363636364E-12;
1975.12;3,29818181818182E-12;
1976.01;3,36181818181818E-12;
1976.02;3,42545454545455E-12;
1976.03;3,61272727272727E-12;
1976.04;3,76909090909091E-12;
1976.05;3,83636363636364E-12;
1976.06;3,92727272727273E-12;
1976.07;3,98363636363636E-12;
1976.08;4,06181818181818E-12;
1976.09;4,13454545454545E-12;
1976.10;4,30181818181818E-12;
1976.11;4,38363636363636E-12;
1976.12;4,48909090909091E-12;
1977.01;4,57818181818182E-12;
1977.02;4,68E-12;
1977.03;4,74545454545455E-12;
1977.04;4,86E-12;
1977.05;5,09090909090909E-12;
1977.06;5,21818181818182E-12;
1977.07;5,29454545454545E-12;
1977.08;5,38545454545455E-12;
1977.09;5,46181818181818E-12;
1977.10;5,55454545454545E-12;
1977.11;5,64909090909091E-12;
1977.12;5,83636363636364E-12;
1978.01;5,90909090909091E-12;
1978.02;5,99818181818182E-12;
1978.03;6,16181818181818E-12;
1978.04;6,27818181818182E-12;
1978.05;6,43636363636364E-12;
1978.06;6,55636363636364E-12;
1978.07;6,69454545454545E-12;
1978.08;6,85454545454545E-12;
1978.09;7E-12;
1978.10;7,14181818181818E-12;
1978.11;7,29090909090909E-12;
1978.12;7,60727272727273E-12;
1979.01;7,92363636363636E-12;
1979.02;8,09090909090909E-12;
1979.03;8,41090909090909E-12;
1979.04;8,65090909090909E-12;
1979.05;9,32909090909091E-12;
1979.06;9,32909090909091E-12;
1979.07;9,49636363636364E-12;
1979.08;1,01E-11;
1979.09;1,08454545454545E-11;
1979.10;1,106E-11;
1979.11;1,16509090909091E-11;
1979.12;1,54654545454545E-11;
1980.01;1,596E-11;
1980.02;1,64763636363636E-11;
1980.03;1,70181818181818E-11;
1980.04;1,784E-11;
1980.05;1,84763636363636E-11;
1980.06;1,90236363636364E-11;
1980.07;1,95927272727273E-11;
1980.08;2,03072727272727E-11;
1980.09;2,09418181818182E-11;
1980.10;2,20690909090909E-11;
1980.11;2,27327272727273E-11;
1980.12;2,38181818181818E-11;
1981.01;2,48872727272727E-11;
1981.02;2,61345454545455E-11;
1981.03;2,78290909090909E-11;
1981.04;2,95818181818182E-11;
1981.05;3,13563636363636E-11;
1981.06;3,32363636363636E-11;
1981.07;3,52290909090909E-11;
1981.08;3,73418181818182E-11;
1981.09;3,95054545454545E-11;
1981.10;4,17563636363636E-11;
1981.11;4,40509090909091E-11;
1981.12;4,64727272727273E-11;
1982.01;4,88872727272727E-11;
1982.02;5,13272727272727E-11;
1982.03;5,38945454545455E-11;
1982.04;5,65854545454545E-11;
1982.05;5,96981818181818E-11;
1982.06;6,29781818181818E-11;
1982.07;6,644E-11;
1982.08;7,04254545454545E-11;
1982.09;7,53563636363636E-11;
1982.10;8,06290909090909E-11;
1982.11;8,62727272727273E-11;
1982.12;9,188E-11;
1983.01;1,00101818181818E-10;
1983.02;1,38705454545455E-10;
1983.03;1,51832727272727E-10;
1983.04;1,65429090909091E-10;
1983.05;1,79494545454545E-10;
1983.06;1,97443636363636E-10;
1983.07;2,22516363636364E-10;
1983.08;2,44E-10;
1983.09;2,68363636363636E-10;
1983.10;3,06181818181818E-10;
1983.11;3,32363636363636E-10;
1983.12;3,57818181818182E-10;
1984.01;3,92727272727273E-10;
1984.02;4,41090909090909E-10;
1984.03;4,85454545454545E-10;
1984.04;5,28363636363636E-10;
1984.05;5,75272727272727E-10;
1984.06;6,28363636363636E-10;
1984.07;6,92727272727273E-10;
1984.08;7,66181818181818E-10;
1984.09;8,46909090909091E-10;
1984.10;9,53454545454545E-10;
1984.11;1,04763636363636E-09;
1984.12;1,15781818181818E-09;
1985.01;1,30363636363636E-09;
1985.02;1,43672727272727E-09;
1985.03;1,61818181818182E-09;
1985.04;1,81090909090909E-09;
1985.05;1,99272727272727E-09;
1985.06;2,17454545454545E-09;
1985.07;2,34181818181818E-09;
1985.08;2,53454545454545E-09;
1985.09;2,84545454545455E-09;
1985.10;3,11272727272727E-09;
1985.11;3,4E-09;
1985.12;3,81454545454545E-09;
1986.01;4,42E-09;
1986.02;5,03272727272727E-09;
1986.03;5,03272727272727E-09;
1986.04;5,03272727272727E-09;
1986.05;5,03272727272727E-09;
1986.06;5,03272727272727E-09;
1986.07;5,03272727272727E-09;
1986.08;5,03272727272727E-09;
1986.09;5,03272727272727E-09;
1986.10;5,12363636363636E-09;
1986.11;5,16218181818182E-09;
1986.12;5,43236363636364E-09;
1987.01;6,01345454545454E-09;
1987.02;7,19818181818182E-09;
1987.03;8,05236363636364E-09;
1987.04;9,24872727272727E-09;
1987.05;1,23621818181818E-08;
1987.06;1,57730909090909E-08;
1987.07;1,67349090909091E-08;
1987.08;1,75847272727273E-08;
1987.09;1,8648E-08;
1987.10;2,03261818181818E-08;
1987.11;2,29341818181818E-08;
1987.12;2,62730909090909E-08;
1988.01;3,03283636363636E-08;
1988.02;3,58178181818182E-08;
1988.03;4,16545454545455E-08;
1988.04;4,99781818181818E-08;
1988.05;5,916E-08;
1988.06;7,07745454545454E-08;
1988.07;8,79018181818182E-08;
1988.08;1,0636E-07;
1988.09;1,31992727272727E-07;
1988.10;1,68487272727273E-07;
1988.11;2,13843636363636E-07;
1988.12;2,78290909090909E-07;
1989.01;3,63636363636364E-07;
1989.02;3,63636363636364E-07;
1989.03;3,63636363636364E-07;
1989.04;3,75272727272727E-07;
1989.05;4,19272727272727E-07;
1989.06;5,52363636363636E-07;
1989.07;7,87636363636364E-07;
1989.08;1,01890909090909E-06;
1989.09;1,38072727272727E-06;
1989.10;1,9E-06;
1989.11;2,67927272727273E-06;
1989.12;4,13018181818182E-06;
1990.01;6,44763636363636E-06;
1990.02;1,11403636363636E-05;
1990.03;1,54763636363636E-05;
1990.04;1,86338181818182E-05;
1990.05;2,00796363636364E-05;
1990.06;2,21898181818182E-05;
1990.07;2,50872727272727E-05;
1990.08;2,60632727272727E-05;
1990.09;3,06265454545455E-05;
1990.10;3,88909090909091E-05;
1990.11;5,26218181818182E-05;
1990.12;6,184E-05;
1991.01;8,00509090909091E-05;
1991.02;8,12472727272727E-05;
1991.03;8,68836363636364E-05;
1991.04;9,48109090909091E-05;
1991.05;0,000103527272727273;
1991.06;0,000113534545454545;
1991.07;0,000126025454545455;
1991.08;0,000143185454545455;
1991.09;0,000169065454545455;
1991.10;0,000234552727272727;
1991.11;0,0003056;
1991.12;0,000388654545454545;
1992.01;0,0004798;
1992.02;0,000593036363636364;
1992.03;0,000722909090909091;
1992.04;0,000871309090909091;
1992.05;0,00103603636363636;
1992.06;0,00125334545454545;
1992.07;0,00152894545454545;
1992.08;0,00186581818181818;
1992.09;0,00232727272727273;
1992.10;0,00292149090909091;
1992.11;0,00361814545454545;
1992.12;0,00450454545454545;
1993.01;0,00571636363636364;
1993.02;0,00722109090909091;
1993.03;0,00913490909090909;
1993.04;0,0117338181818182;
1993.05;0,0151636363636364;
1993.06;0,0197585454545455;
1993.07;0,0258738181818182;
1993.08;0,0344189090909091;
1993.09;0,0465709090909091;
1993.10;0,0632727272727273;
1993.11;0,0858109090909091;
1993.12;0,118583636363636;
1994.01;0,166785454545455;
1994.02;0,2318;
1994.03;0,332125454545455;
1994.04;0,473556363636364;
1994.05;0,681916363636364;
1994.06;1;
1994.07;0,94;
1994.08;0,889;
1994.09;0,853;
1994.10;0,846;
1994.11;0,845;
1994.12;0,846;
1995.01;0,842;
1995.02;0,8515;
1995.03;0,896;
1995.04;0,913;
1995.05;0,906;
1995.06;0,922;
1995.07;0,936;
1995.08;0,951;
1995.09;0,954;
1995.10;0,9619;
1995.11;0,9666;
1995.12;0,9725;
1996.01;0,9786;
1996.02;0,9842;
1996.03;0,988;
1996.04;0,9925;
1996.05;0,9984;
1996.06;1,0044;
1996.07;1,0112;
1996.08;1,0169;
1996.09;1,0215;
1996.10;1,0276;
1996.11;1,0332;
1996.12;1,0394;
1997.01;1,0461;
1997.02;1,0515;
1997.03;1,0593;
1997.04;1,0638;
1997.05;1,0717;
1997.06;1,0769;
1997.07;1,0834;
1997.08;1,0916;
1997.09;1,0964;
1997.10;1,1031;
1997.11;1,1098;
1997.12;1,1164;
1998.01;1,1237;
1998.02;1,1374;
1998.03;1,1374;
1998.04;1,1443;
1998.05;1,1505;
1998.06;1,1569;
1998.07;1,1634;
1998.08;1,1769;
1998.09;1,1856;
1998.10;1,1932;
1998.11;1,2012;
1998.12;1,2087;
1999.01;1,9832;
1999.02;2,0648;
1999.03;1,722;
1999.04;1,6607;
1999.05;1,724;
1999.06;1,7695;
1999.07;1,7892;
1999.08;1,9159;
1999.09;1,9223;
1999.10;1,953;
1999.11;1,9227;
1999.12;1,789;
2000.01;1,8024;
2000.02;1,7685;
2000.03;1,7473;
2000.04;1,8067;
2000.05;1,8266;
2000.06;1,8;
2000.07;1,7748;
2000.08;1,8234;
2000.09;1,8437;
2000.10;1,909;
2000.11;1,9596;
2000.12;1,9554;
2001.01;1,9711;
2001.02;2,0452;
2001.03;2,1616;
2001.04;2,1847;
2001.05;2,36;
2001.06;2,3049;
2001.07;2,4313;
2001.08;2,5517;
2001.09;2,6713;
2001.10;2,7071;
2001.11;2,5287;
2001.12;2,3204;
2002.01;2,4183;
2002.02;2,3482;
2002.03;2,3236;
2002.04;2,3625;
2002.05;2,522;
2002.06;2,8444;
2002.07;3,4285;
2002.08;3,0223;
2002.09;3,8949;
2002.10;3,645;
2002.11;3,6365;
2002.12;3,5333;
2003.01;3,5258;
2003.02;3,5632;
2003.03;3,3531;
2003.04;2,8898;
2003.05;2,9656;
2003.06;2,872;
2003.07;2,9655;
2003.08;2,9665;
2003.09;2,9234;
2003.10;2,8562;
2003.11;2,9494;
2003.12;2,8892;
2004.01;2,9409;
2004.02;2,9138;
2004.03;2,9086;
2004.04;2,9447;
2004.05;3,1291;
2004.06;3,1075;
2004.07;3,0268;
2004.08;2,9338;
2004.09;2,8586;
2004.10;2,8565;
2004.11;2,7307;
2004.12;2,6544;
2005.01;2,6248;
2005.02;2,595;
2005.03;2,6662;
2005.04;2,5313;
2005.05;2,4038;
2005.06;2,3504;
2005.07;2,3905;
2005.08;2,3637;
2005.09;2,2222;
2005.10;2,2543;
2005.11;2,207;
2005.12;2,3407;
2006.01;2,216;
2006.02;2,1355;
2006.03;2,1724;
2006.04;2,0892;
2006.05;2,3005;
2006.06;2,1643;
2006.07;2,1762;
2006.08;2,1388;
2006.09;2,1742;
2006.10;2,143;
2006.11;2,1668;
2006.12;2,138;
2007.01;2,1247;
2007.02;2,1182;
2007.03;2,0504;
2007.04;2,0339;
2007.05;1,9289;
2007.06;1,9262;
2007.07;1,8776;
2007.08;1,962;
2007.09;1,8389;
2007.10;1,744;
2007.11;1,7837;
2007.12;1,7713;
2008.01;1,7603;
2008.02;1,6833;
2008.03;1,7491;
2008.04;1,6872;
2008.05;1,6294;
2008.06;1,5919;
2008.07;1,5666;
2008.08;1,6344;
2008.09;1,9143;
2008.10;2,1153;
2008.11;2,3331;
2008.12;2,337;
2009.01;2,3162;
2009.02;2,3784;
2009.03;2,3152;
2009.04;2,1783;
2009.05;1,973;
2009.06;1,9516;
2009.07;1,8726;
2009.08;1,8864;
2009.09;1,7781;
2009.10;1,744;
2009.11;1,7505;
2009.12;1,7412;
2010.01;1,8748;
2010.02;1,811;
2010.03;1,781;
2010.04;1,7306;
2010.05;1,8167;
2010.06;1,8015;
2010.07;1,7572;
2010.08;1,756;
2010.09;1,6942;
2010.10;1,7014;
2010.11;1,7161;
2010.12;1,6662;
2011.01;1,6734;
2011.02;1,6612;
2011.03;1,6287;
2011.04;1,5733;
2011.05;1,5799;
2011.06;1,5611;
2011.07;1,5563;
2011.08;1,5872;
2011.09;1,8544;
2011.10;1,6885;
2011.11;1,8109;
2011.12;1,8758;
2012.01;1,7391;
2012.02;1,7092;
2012.03;1,8221;
2012.04;1,8918;
2012.05;2,0223;
2012.06;2,0213;
2012.07;2,0499;
2012.08;2,0372;
2012.09;2,0306;
2012.10;2,0313;
2012.11;2,1074;
2012.12;2,0435;
2013.01;1,9883;
2013.02;1,9754;
2013.03;2,0138;
2013.04;2,0017;
2013.05;2,1319;
2013.06;2,2156;
2013.07;2,2903;
2013.08;2,3725;
2013.09;2,23;
2013.10;2,2026;
2013.11;2,3249;
2013.12;2,3426;
2014.01;2,4263;
2014.02;2,3334;
2014.03;2,263;
2014.04;2,236;
2014.05;2,239;
2014.06;2,2025;
2014.07;2,2674;
2014.08;2,2396;
2014.09;2,451;
2014.10;2,4442;
2014.11;2,5601;
2014.12;2,6562;
2015.01;2,6623;
2015.02;2,8782;
2015.03;3,208;
2015.04;2,9936;
2015.05;3,1788;
2015.06;3,1026;
2015.07;3,394;
2015.08;3,6467;
2015.09;3,9729;
2015.10;3,8589;
2015.11;3,8506;
2015.12;3,9048;
2016.01;4,0428;
2016.02;3,9796;
2016.03;3,5589;
2016.04;3,4508;
2016.05;3,5951;
2016.06;3,2098;
2016.07;3,239;
2016.08;3,2403;
2016.09;3,2462;
2016.10;3,1811;
2016.11;3,3967;
2016.12;3,2591;
2017.01;3,127;
2017.02;3,0993;
2017.03;3,1684;
2017.04;3,1984;
2017.05;3,2437;
2017.06;3,3082;
2017.07;3,1307;
2017.08;3,1471;
2017.09;3,168;
2017.10;3,2769;
2017.11;3,2616;
2017.12;3,308;
2018.01;3,1624;
2018.02;3,2449;
2018.03;3,3238;
2018.04;3,4811;
2018.05;3,737;
2018.06;3,8558;
2018.07;3,7549;
2018.08;4,1353;
2018.09;4,0039;
2018.10;3,7177;
2018.11;3,8633;
2018.12;3,8748;
2019.01;3,6519;
2019.02;3,7385;
2019.03;3,8967;
2019.04;3,9453;
2019.05;3,9407;
2019.06;3,8322;
2019.07;3,7649;
2019.08;4,1385;
2019.09;4,1644;
2019.10;4,0041;
2019.11;4,224;
2019.12;4,0307;
2020.01;4,2695;
2020.02;4,4987;
2020.03;5,1987;
2020.04;5,427;
2020.05;5,4263;
2020.06;5,476;
2020.07;5,2033;
2020.08;5,4713;
2020.09;5,6407;
2020.10;5,7718;
2020.11;5,3317;
2020.12;5,1967;
2021.01;5,4759;
2021.02;5,5302;
2021.03;5,6973;
2021.04;5,4036;
2021.05;5,2322;
2021.06;5,0022;
2021.07;5,1216;
2021.08;5,1433;
2021.09;5,4394;
2021.10;5,643;
2021.11;5,6199;
2021.12;5,5805;
2022.01;5,3574;
2022.02;5,1394;
2022.03;4,7378;
2022.04;4,9191;
2022.05;4,7289;
2022.06;5,238;
2022.07;5,1884;
2022.08;5,179;
2022.09;5,4066;
2022.10;5,257;
2022.11;5,2941;
2022.12;5,2177;
2023.01;5,0993;
2023.02;5,2078;
